Tweet_count,Username,Handle,Text,Timestamp,Created At,Replies,Retweets,Likes,Views,Url,isVerified,hasMedia
1,LiveScore,livescore,Real Madrid remain trophyless in 2025,2025-07-09T21:35:00.000Z,2025-07-09,391,3620,38244,758798,https://x.com/livescore/status/1943061350693114085,true,true
2,Troll Football,TrollFootball,Real Madrid joins the group,2025-07-09T21:17:03.000Z,2025-07-09,1588,20108,130831,5380311,https://x.com/TrollFootball/status/1943056832140066891,true,true
3,17,DxBruyneSZN,Erling Haaland joins Man City and wins everything Kylian Mbappe joins Real Madrid and loses everything whilst PSG wins it all when he leaves Proper levels,2025-07-09T21:07:12.000Z,2025-07-09,85,819,8927,329742,https://x.com/DxBruyneSZN/status/1943054353805287669,true,true
4,J Sinns Jr,RealTwist12,POV: Barca passing over Real Madrid to PSG for another routine demolition,2025-07-09T21:01:02.000Z,2025-07-09,75,877,10543,239142,https://x.com/RealTwist12/status/1943052800071463192,true,true
5,Hater Central,TheHateCentral,The new era of Real Madrid has officially begun. THE ASSLACTICOS,2025-07-09T21:04:47.000Z,2025-07-09,156,1742,18148,587378,https://x.com/TheHateCentral/status/1943053745547546820,true,true
6,17,DxBruyneSZN,Man City Barcelona PSG embarrassing Real Madrid 4-0,2025-07-09T21:03:01.000Z,2025-07-09,64,441,3699,177130,https://x.com/DxBruyneSZN/status/1943053298547986698,true,true
7,Troll Football,TrollFootball,PSG vs Real Madrid highlights,2025-07-09T19:54:29.000Z,2025-07-09,1051,9613,69353,5478092,https://x.com/TrollFootball/status/1943036053092475289,true,true
8,Troll Football,TrollFootball,Mbappe leaving the PSG super team for Real Madrid,2025-07-09T20:02:53.000Z,2025-07-09,330,3134,43412,1278621,https://x.com/TrollFootball/status/1943038166451261759,true,true
9,Desconocido,Priceless_MCI,No Real Madrid hater will scroll past this picture without liking,2025-07-09T20:00:52.000Z,2025-07-09,136,833,24475,397491,https://x.com/Priceless_MCI/status/1943037657463832832,true,true
10,Josh,Joshua_MCI,Oil clubs beating Real Madrid 4-0,2025-07-09T21:03:42.000Z,2025-07-09,13,219,3822,71564,https://x.com/Joshua_MCI/status/1943053473278247146,true,true
11,Amin,TheAminFCB2,Rudiger laughing at Real Madrid’s loss,2025-07-09T21:24:32.000Z,2025-07-09,22,293,4066,73351,https://x.com/TheAminFCB2/status/1943058713260233146,true,true
12,TheSwissLad,barcal899,BREAKING: Real Madrid will close the roof of the Santiago Bernabeu for the return leg against PSG! 90 minutes at the Bernabeu will be a very long time!,2025-07-09T21:19:37.000Z,2025-07-09,374,2979,48071,1111269,https://x.com/barcal899/status/1943057476523561437,true,true
13,Goals ,Goals360hub,It looks to be over between Rodrygo and Real Madrid.,2025-07-09T20:54:48.000Z,2025-07-09,15,266,11605,96449,https://x.com/Goals360hub/status/1943051230269583744,true,true
14,Troll Football,TrollFootball,"Dembele, Ruiz and Hakimi against Real Madrid",2025-07-09T20:31:10.000Z,2025-07-09,180,2196,22426,1219551,https://x.com/TrollFootball/status/1943045283803467937,true,true
15,Berneese,theberneese,LET’S ALL LAUGH AT REAL MADRID,2025-07-09T21:00:25.000Z,2025-07-09,741,1486,19677,362983,https://x.com/theberneese/status/1943052645570425110,true,true
16,Berneese,theberneese,Inter Miami and Real Madrid are on the same level,2025-07-09T21:10:50.000Z,2025-07-09,402,1176,13376,344701,https://x.com/theberneese/status/1943055266137936190,true,true
17,ESPN FC,ESPNFC,Real Madrid's season ends with some tough loses,2025-07-09T21:09:29.000Z,2025-07-09,282,2149,16804,456442,https://x.com/ESPNFC/status/1943054927573745734,true,true
18,17,DxBruyneSZN,Even the FIFA President was annoyed at Real Madrid losing,2025-07-09T20:08:29.000Z,2025-07-09,23,254,6408,78764,https://x.com/DxBruyneSZN/status/1943039576127475981,true,true
19,𝐂𝐀 𝐕𝐀?,psg_chief,WHAT I NEED TODAY : Real Madrid Loss Inter Miami Win Leo Messi Brace I’m seated tonight,2025-07-09T11:11:20.000Z,2025-07-09,568,1864,23949,397222,https://x.com/psg_chief/status/1942904398075613193,true,true
20,Hater Central,TheHateCentral,Rodrygo vs PSG: 4 Gatorade Assists 5 Key Towel Passes 12 Seats Warmed 100% Water Toss Accuracy THE MOST IMPACTFUL REAL MADRID PLAYER,2025-07-09T20:57:42.000Z,2025-07-09,66,443,5827,265628,https://x.com/TheHateCentral/status/1943051962599248275,true,true
21,Wealth,wealth_united_,I will deactivate my account and never come back if Real Madrid lose to PSG today.,2025-07-09T19:02:49.000Z,2025-07-09,3804,1309,9821,548817,https://x.com/wealth_united_/status/1943023050049351872,true,true
22,𝐂𝐇𝐀𝐑𝐋𝐄𝐒,ChaaliiyKay,“haters of Real Madrid” let’s connect! repost and comment “” and follow everyone that likes your comment. follow me too.,2025-07-09T21:02:06.000Z,2025-07-09,238,145,1424,37710,https://x.com/ChaaliiyKay/status/1943053068616241658,true,true
23,Barça Worldwide,BarcaWorldwide,Messi (38) had more shots on target vs PSG alone (3) than all of Real Madrid combined (2),2025-07-09T22:14:40.000Z,2025-07-09,51,1854,21285,315491,https://x.com/BarcaWorldwide/status/1943071330188038181,true,true
24,Zach Lowy,ZachLowy,Kylian Mbappé: -Announces he was joining Real Madrid two days after they win the Champions League -Fails to win a single major trophy at Real -Watches as PSG win their first-ever Champions League -Loses 4-0 to PSG to end the season What a year.,2025-07-09T21:16:11.000Z,2025-07-09,245,1988,24749,733926,https://x.com/ZachLowy/status/1943056611758440769,true,true
25,Kobi,UtdKobi,Real Madrid are losing but it's Chelsea fans who are worried,2025-07-09T19:36:41.000Z,2025-07-09,116,446,5832,140168,https://x.com/UtdKobi/status/1943031573768753453,true,true
26,Troll Football,TrollFootball,PSG is resting its players after just 59 minutes. Real Madrid:,2025-07-09T20:35:18.000Z,2025-07-09,130,2057,23325,794913,https://x.com/TrollFootball/status/1943046324993298545,true,true
27,Fabrizio Romano,FabrizioRomano,Lucas Vázquez leaves Real Madrid and he’s set for next move as free agent. Legend of the club.,2025-07-09T21:55:59.000Z,2025-07-09,620,2532,58389,2415498,https://x.com/FabrizioRomano/status/1943066628452946241,true,true
28,Real Madrid Pictures That Go Hard,RMadridPix,<multimedia>,2025-07-09T19:51:01.000Z,2025-07-09,78,5251,38785,1249968,https://x.com/RMadridPix/status/1943035179024396350,false,true
29,Madrid Zone,theMadridZone,"OFFICIAL: Luka Modrić’s Real Madrid career is now over. Thank you, legend.",2025-07-09T21:01:10.000Z,2025-07-09,183,5850,53487,694741,https://x.com/theMadridZone/status/1943052835446493618,true,true
30,Real Madrid Info ³⁶,RMadridInfo,Mbappe with Hakimi before the game,2025-07-09T18:43:55.000Z,2025-07-09,19,879,23630,437379,https://x.com/RMadridInfo/status/1943018295332081855,true,true
31,LiveScore,livescore,PSG are making a mockery of Real Madrid,2025-07-09T19:46:24.000Z,2025-07-09,37,410,6441,57106,https://x.com/livescore/status/1943034019702305065,true,true
32,ESPN FC,ESPNFC,Kylian Mbappe left PSG and the Parisian side went on to win the Champions League and have now just eliminated Mbappe's Real Madrid from the Club World Cup Life comes at you fast.,2025-07-09T21:17:01.000Z,2025-07-09,521,2288,26639,713628,https://x.com/ESPNFC/status/1943056823294009407,true,true
33,𝑻𝒉𝒆 𝑺𝒂𝒍𝒕 𝑶𝒇 𝑻𝒉𝒆 𝑬𝒂𝒓𝒕𝒉,Shadaya_Knight,"No more doubts about it, he is currently the best player on the planet Not even halftime and he's already destroyed Real Madrid Ousmane Dembele, the incoming Balon D'or winner",2025-07-09T19:39:04.000Z,2025-07-09,177,205,3163,131174,https://x.com/Shadaya_Knight/status/1943032171851096223,true,true
