Tweet_count,Username,Handle,Text,Timestamp,Created At,Replies,Retweets,Likes,Views,Url,isVerified,hasMedia
1,𝙎𝙖𝙦𝙚𝙚𝙯𝙮,saweezo,Mbappe's career outside of those 2 world cups,2025-07-09T21:59:16.000Z,2025-07-09,58,384,7915,250725,https://x.com/saweezo/status/1943067454491472313,false,true
2,`,Varca_Owner,Life before Mbappe:,2025-07-09T20:20:37.000Z,2025-07-09,92,1737,12537,472930,https://x.com/Varca_Owner/status/1943042628234490059,false,true
3,17,DxBruyneSZN,Erling Haaland joins Man City and wins everything Kylian Mbappe joins Real Madrid and loses everything whilst PSG wins it all when he leaves Proper levels,2025-07-09T21:07:12.000Z,2025-07-09,85,818,8856,325434,https://x.com/DxBruyneSZN/status/1943054353805287669,true,true
4,Shillyshally,Shillyshalyy,"""prime mbappe"" ""40yr old washed messi""",2025-07-09T21:18:52.000Z,2025-07-09,63,1057,9729,290294,https://x.com/Shillyshalyy/status/1943057289759592881,false,true
5,𝐓𝐅𝐒,TheFootySage,"Thibaut Courtois: “First of all, fuck Asencio and Rudiger. Secondly, fuck Vini and Mbappe.”",2025-07-09T21:21:58.000Z,2025-07-09,311,4262,57477,1359407,https://x.com/TheFootySage/status/1943058068054642991,false,true
6,Troll Football,TrollFootball,Mbappe leaving the PSG super team for Real Madrid,2025-07-09T20:02:53.000Z,2025-07-09,330,3112,42918,1259928,https://x.com/TrollFootball/status/1943038166451261759,true,true
7,۟,hireathes,There are people who still think Mbappe and Vini can play well together,2025-07-09T19:42:15.000Z,2025-07-09,14,68,822,145617,https://x.com/hireathes/status/1943032974804685114,false,true
8,ahm3.x,_ahm3x,"Mbappe this, Vini that. I just miss my dawgs.",2025-07-09T19:29:13.000Z,2025-07-09,31,731,8863,191867,https://x.com/_ahm3x/status/1943029695349428420,true,true
9,Anabella,AnabellaMarvy,Now I understand why Enrique and Mbappe never got along. Enrique wanted him to press and Mbappe never wanted to. So lazy,2025-07-09T20:38:58.000Z,2025-07-09,272,4577,43088,2540599,https://x.com/AnabellaMarvy/status/1943047247111032943,true,true
10,¹⁰,SxrgioSZN,PSG winning it all without Mbappe then dunking on him to make sure he goes trophyless,2025-07-09T19:35:15.000Z,2025-07-09,22,1192,11336,364027,https://x.com/SxrgioSZN/status/1943031210470437037,true,true
11,ESPN FC,ESPNFC,Kylian Mbappe left PSG and the Parisian side went on to win the Champions League and have now just eliminated Mbappe's Real Madrid from the Club World Cup Life comes at you fast.,2025-07-09T21:17:01.000Z,2025-07-09,520,2274,26474,708812,https://x.com/ESPNFC/status/1943056823294009407,true,true
12,Liban,LibanLDN,PSG never reached this level with Mbappe at the club. Like I said…,2025-07-09T19:59:16.000Z,2025-07-09,47,790,6804,341095,https://x.com/LibanLDN/status/1943037257956368739,true,true
13,G,Gideoomatic,"Dembele > Mbappe hive, we did it",2025-07-09T20:16:30.000Z,2025-07-09,7,150,1344,111418,https://x.com/Gideoomatic/status/1943041591897448532,false,true
14,Zach Lowy,ZachLowy,Kylian Mbappé: -Announces he was joining Real Madrid two days after they win the Champions League -Fails to win a single major trophy at Real -Watches as PSG win their first-ever Champions League -Loses 4-0 to PSG to end the season What a year.,2025-07-09T21:16:11.000Z,2025-07-09,239,1957,24245,717232,https://x.com/ZachLowy/status/1943056611758440769,true,true
15,Real Madrid Info ³⁶,RMadridInfo,Mbappe with Hakimi before the game,2025-07-09T18:43:55.000Z,2025-07-09,18,870,23450,433603,https://x.com/RMadridInfo/status/1943018295332081855,true,true
16,Douba,D0U8A,feel like i’m the only madrid fan that wants both mbappe and vini to succeed,2025-07-09T13:02:57.000Z,2025-07-09,131,444,4906,290231,https://x.com/D0U8A/status/1942932485458788854,false,true
17,RMFCTeam,RMFC_team,"NOBODY can convince me that mbappe has made our team team better since he has arrived, stat padding against small teams and ghosting against the big teams is shameful.",2025-07-09T20:08:10.000Z,2025-07-09,303,522,3869,229256,https://x.com/RMFC_team/status/1943039496477380658,false,true
18,Sports Illustrated FC,SI_FootballClub,Kylian Mbappé with his former teammates and coaches after the game...,2025-07-09T21:28:42.000Z,2025-07-09,88,1498,30308,2060816,https://x.com/SI_FootballClub/status/1943059765011321316,true,true
19,W ,Wlapperrrrr,Dembele is running like a dog he's giving everything for his team meanwhile we have Vini and Mbappe They will never reach Dembele's level.,2025-07-09T20:08:33.000Z,2025-07-09,22,94,817,331333,https://x.com/Wlapperrrrr/status/1943039593923727609,false,false
20,OneFootball,OneFootball,Kylian Mbappé is the latest player to suffer a rude return to his former side,2025-07-09T21:58:50.000Z,2025-07-09,57,514,9034,53367,https://x.com/OneFootball/status/1943067348455637432,true,true
21,peymar,robingo_FCB,Mbappe qui quitte le psg pour gagner des trophées avec le real #PSGREAL,2025-07-09T19:42:52.000Z,2025-07-09,22,243,2409,219953,https://x.com/robingo_FCB/status/1943033128328605844,false,true
22,Kay | Snapchat & IG Ads,KayRMFC,Life before Mbappe,2025-07-09T21:49:48.000Z,2025-07-09,86,317,2267,59479,https://x.com/KayRMFC/status/1943065072840118359,true,true
23,abel,FcbAvr,Luis Enrique siempre tuvo razón. El PSG sin Mbappe es una máquina jugando al fútbol.,2025-07-09T20:00:07.000Z,2025-07-09,220,7266,64015,2746124,https://x.com/FcbAvr/status/1943037471534546969,true,true
24,B/R Football,brfootball,"Since Kylian Mbappé left PSG a year ago, they have... Won the one trophy he couldn't while he was there: the Champions League Knocked his new club, Real Madrid, out of the Club World Cup",2025-07-09T21:13:19.000Z,2025-07-09,117,1292,9658,325513,https://x.com/brfootball/status/1943055891223232783,true,true
25,SodaWaterBottleOpenerWala,adrakwalichai1,Throwback Extraordinary clip of Luis Enrique scolding Kylian Mbappe.,2025-07-09T20:01:57.000Z,2025-07-09,68,531,3333,235560,https://x.com/adrakwalichai1/status/1943037930395832714,true,true
