Tweet_count,Username,Handle,Text,Timestamp,Created At,Replies,Retweets,Likes,Views,Url,isVerified,hasMedia
1,𝙎𝙖𝙦𝙚𝙚𝙯𝙮,saweezo,Mbappe's career outside of those 2 world cups,2025-07-09T21:59:16.000Z,2025-07-09,58,389,7969,252538,https://x.com/saweezo/status/1943067454491472313,false,true
2,17,DxBruyneSZN,Erling Haaland joins Man City and wins everything Kylian Mbappe joins Real Madrid and loses everything whilst PSG wins it all when he leaves Proper levels,2025-07-09T21:07:12.000Z,2025-07-09,85,818,8874,326511,https://x.com/DxBruyneSZN/status/1943054353805287669,true,true
3,ahm3.x,_ahm3x,"Mbappe this, Vini that. I just miss my dawgs.",2025-07-09T19:29:13.000Z,2025-07-09,32,734,8901,192840,https://x.com/_ahm3x/status/1943029695349428420,true,true
4,𝐓𝐅𝐒,TheFootySage,"Thibaut Courtois: “First of all, fuck Asencio and Rudiger. Secondly, fuck Vini and Mbappe.”",2025-07-09T21:21:58.000Z,2025-07-09,311,4276,57701,1366483,https://x.com/TheFootySage/status/1943058068054642991,false,true
5,Sports Illustrated FC,SI_FootballClub,Kylian Mbappé with his former teammates and coaches after the game...,2025-07-09T21:28:42.000Z,2025-07-09,88,1501,30367,2065972,https://x.com/SI_FootballClub/status/1943059765011321316,true,true
6,Troll Football,TrollFootball,Mbappe leaving the PSG super team for Real Madrid,2025-07-09T20:02:53.000Z,2025-07-09,330,3119,43047,1264352,https://x.com/TrollFootball/status/1943038166451261759,true,true
7,TheSwissLad,barcal899,BREAKING: Real Madrid will close the roof of the Santiago Bernabeu for the return leg against PSG! 90 minutes at the Bernabeu will be a very long time!,2025-07-09T21:19:37.000Z,2025-07-09,362,2933,47275,1071680,https://x.com/barcal899/status/1943057476523561437,true,true
8,`,Varca_Owner,Life before Mbappe:,2025-07-09T20:20:37.000Z,2025-07-09,92,1740,12567,475536,https://x.com/Varca_Owner/status/1943042628234490059,false,true
9,Bannon’s WarRoom,Bannons_WarRoom,"BANNON: We don’t control DOJ, CIA, FBI, or the Pentagon. The same deep state took out Kennedy and Nixon. They see everyone as a passing figure. Victory isn’t real until we dismantle them for good. If we fail now, we’ll deserve the consequences.",2025-07-09T15:09:27.000Z,2025-07-09,261,1933,5200,236682,https://x.com/Bannons_WarRoom/status/1942964322633761191,true,true
10,Anabella,AnabellaMarvy,Now I understand why Enrique and Mbappe never got along. Enrique wanted him to press and Mbappe never wanted to. So lazy,2025-07-09T20:38:58.000Z,2025-07-09,272,4591,43173,2547300,https://x.com/AnabellaMarvy/status/1943047247111032943,true,true
11,SAY CHEESE! ,SaycheeseDGTL,Starting July 15th YouTube will only pay creators who use their real voice and produce original content. Following will not be eligible for monetization: - Reused or repurposed videos - Copied content - Low effort uploads - Fully AI-generated videos,2025-07-09T16:06:39.000Z,2025-07-09,3620,12866,128148,7999000,https://x.com/SaycheeseDGTL/status/1942978716470247575,true,true
12,Zach Lowy,ZachLowy,Kylian Mbappé: -Announces he was joining Real Madrid two days after they win the Champions League -Fails to win a single major trophy at Real -Watches as PSG win their first-ever Champions League -Loses 4-0 to PSG to end the season What a year.,2025-07-09T21:16:11.000Z,2025-07-09,240,1964,24345,721184,https://x.com/ZachLowy/status/1943056611758440769,true,true
13,J Sinns Jr,RealTwist12,POV: Barca passing over Real Madrid to PSG for another routine demolition,2025-07-09T21:01:02.000Z,2025-07-09,75,876,10450,236721,https://x.com/RealTwist12/status/1943052800071463192,true,true
14,Shillyshally,Shillyshalyy,"""prime mbappe"" ""40yr old washed messi""",2025-07-09T21:18:52.000Z,2025-07-09,63,1058,9745,291128,https://x.com/Shillyshalyy/status/1943057289759592881,false,true
15,Liban,LibanLDN,PSG never reached this level with Mbappe at the club. Like I said…,2025-07-09T19:59:16.000Z,2025-07-09,47,790,6806,341513,https://x.com/LibanLDN/status/1943037257956368739,true,true
16,Troll Football,TrollFootball,PSG vs Real Madrid highlights,2025-07-09T19:54:29.000Z,2025-07-09,1047,9593,69163,5446160,https://x.com/TrollFootball/status/1943036053092475289,true,true
17,𝐂𝐀 𝐕𝐀?,psg_chief,WHAT I NEED TODAY : Real Madrid Loss Inter Miami Win Leo Messi Brace I’m seated tonight,2025-07-09T11:11:20.000Z,2025-07-09,565,1856,23726,393266,https://x.com/psg_chief/status/1942904398075613193,true,true
