Tweet_count,Username,Handle,Text,Timestamp,Created At,Replies,Retweets,Likes,Views,Url,isVerified,hasMedia
1,nupsu,nupsume,wild gastly appeared #pokemon #lowpoly,2025-05-22T11:22:42.000Z,2025-05-22,34,1691,11322,265129,https://x.com/nupsume/status/1925512639116984755,false,true
2,Spyrook,Spyrook,Guys there's something wrong with my phone #Pokemon,2025-05-21T19:32:29.000Z,2025-05-21,53,2480,13906,249824,https://x.com/Spyrook/status/1925273512723222899,false,true
3,▓ 𝙸𝚝𝚣𝚊𝚑 ▒,1TZAH,Pokémon #pixelart wallpaper. Floaroma Town.,2025-05-21T16:15:06.000Z,2025-05-21,8,817,6273,93302,https://x.com/1TZAH/status/1925223839434186806,true,true
4,Untitled Animation,untitledanim8,gods artwork by the artist @Anima_nel #pokemon,2025-05-21T13:21:16.000Z,2025-05-21,14,1772,16069,707309,https://x.com/untitledanim8/status/1925180091677491437,true,true
5,AZZ,AZZ0422,Beauty #ポケモン #pokemon,2025-05-22T12:43:07.000Z,2025-05-22,35,3706,69500,731388,https://x.com/AZZ0422/status/1925532879498748162,false,true
6,sophie,netcapgirl,pokemon go summer was 9 years ago,2025-05-20T17:17:42.000Z,2025-05-20,176,2512,27983,9519934,https://x.com/netcapgirl/status/1924877202237075664,true,true
7,Carolina,carolinaroda_,pretty obsessed with pokemon arceus yeah.... #Pokemon,2025-05-20T19:47:03.000Z,2025-05-20,24,1274,10940,122133,https://x.com/carolinaroda_/status/1924914788527714570,false,true
8,▓ 𝙸𝚝𝚣𝚊𝚑 ▒,1TZAH,"Pokémon Emerald. (""Remake"") Title screen. #pixelart Wallpaper.",2025-05-20T15:47:27.000Z,2025-05-20,9,576,4668,74963,https://x.com/1TZAH/status/1924854490751967732,true,true
9,KornArt,KornArt3,POKEMON Z-A,2025-05-19T16:42:20.000Z,2025-05-19,96,3720,22958,345552,https://x.com/KornArt3/status/1924505916717646150,false,true
10,Lewtwo,Lewchube,new Mega Evolution artwork for Pokémon Legends ZA looks fucking gorgeous my god,2025-05-28T13:23:32.000Z,2025-05-28,78,2030,19137,471403,https://x.com/Lewchube/status/1927717376864215318,true,true
11,Yisuno ⚝ | PBR ENJOYER,TheYisusOne,"Currently learning how Archaludon's Pokemon model works and it has way more stuff going on that I thought, didn't expect it to use a different model for Electro Shot",2025-05-20T14:05:22.000Z,2025-05-20,57,692,12872,527797,https://x.com/TheYisusOne/status/1924828803055993146,false,true
12,Out of Context Pokémon,OoCPokemon,good morning,2025-05-28T13:10:15.000Z,2025-05-28,27,1002,6700,158726,https://x.com/OoCPokemon/status/1927714032569483348,true,true
13,Pokémon Tweets ,PkmnShitpost,this is a rayquaza train next stop is space,2025-05-24T21:14:32.000Z,2025-05-24,39,851,9880,404985,https://x.com/PkmnShitpost/status/1926386354427982222,false,true
14,Out of Context Pokémon,OoCPokemon,good night,2025-05-25T03:12:13.000Z,2025-05-25,14,484,5202,133370,https://x.com/OoCPokemon/status/1926476369837339105,true,true
15,Pokémon TCG Pocket,PokemonTCGP,> scan.universe -detect anomalies ....... ..... [] Warning: Anomaly detected > analyze.anomaly -type Ultra Wormhole [ANALYSIS COMPLETE] EXTRADIMENSIONAL CRISIS DETECTED → Origin: ULTRA SPACE → Destination: ANDROID & iOS → Entities Observed:,2025-05-22T13:06:36.000Z,2025-05-22,677,3284,20592,1273396,https://x.com/PokemonTCGP/status/1925538789855809923,true,true
16,90s Pokemon,90sPKMN,Which one is better?,2025-05-27T01:02:55.000Z,2025-05-27,72,381,5411,115592,https://x.com/90sPKMN/status/1927168606980243465,true,true
17,Pokemon Giveaways,PokeTCGiveaways,DERPY EEVEELUTIONS!,2025-05-22T13:00:01.000Z,2025-05-22,100,1930,13171,401933,https://x.com/PokeTCGiveaways/status/1925537131742863481,true,true
18,phil | vgen comms OPEN!,pixelorei,Pokemon : The Flame Chase Journey #Phainon #HonkaiStarRail,2025-05-24T22:45:57.000Z,2025-05-24,56,3982,20788,377769,https://x.com/pixelorei/status/1926409360067944782,false,true
19,Yisuno ⚝ | PBR ENJOYER,TheYisusOne,Made an animated version replicating the effects from the Pokemon BW sprites for shiny Reshiram and Zekrom,2025-05-22T14:00:19.000Z,2025-05-22,26,770,6697,138937,https://x.com/TheYisusOne/status/1925552305425822026,false,true
20,Why everyone loves Pokemon,pokemon_twts,<multimedia>,2025-05-23T22:57:58.000Z,2025-05-23,1,316,2018,31858,https://x.com/pokemon_twts/status/1926050000070435104,true,true
21,Pokémon Contexts,PokemonContexts,and that's all we ask,2025-05-20T18:17:16.000Z,2025-05-20,46,5180,40209,845993,https://x.com/PokemonContexts/status/1924892194261106858,false,true
22,90s Pokemon,90sPKMN,<multimedia>,2025-05-22T15:16:46.000Z,2025-05-22,22,1566,13386,404979,https://x.com/90sPKMN/status/1925571545105088870,true,true
23,Pokémon,Pokemon,It's Gothitelle's day,2025-05-22T17:00:11.000Z,2025-05-22,119,970,13454,416454,https://x.com/Pokemon/status/1925597571973566815,true,true
24,Pokemon Gems,PokemonGems,Blastoise happy under the waterfall,2025-05-26T12:48:46.000Z,2025-05-26,10,761,6396,122443,https://x.com/PokemonGems/status/1926983851303211362,false,true
25,MiuA || COLOSO ,akira_yoru,Wip #pokemon #ポケモン,2025-05-27T16:57:33.000Z,2025-05-27,11,557,4685,93038,https://x.com/akira_yoru/status/1927408849062904091,true,true
26,Out of Context Pokémon,OoCPokemon,<multimedia>,2025-05-25T00:00:01.000Z,2025-05-25,6,205,3300,72736,https://x.com/OoCPokemon/status/1926428002243719196,true,true
27,Akuo ,AkuoArt,A heat wave of nostalgia Pokemon Ruby,2025-05-26T18:38:04.000Z,2025-05-26,19,942,4574,56445,https://x.com/AkuoArt/status/1927071753735430420,false,true
28,Out of Context Pokémon,OoCPokemon,Safety first,2025-05-20T18:05:50.000Z,2025-05-20,22,1656,15050,363579,https://x.com/OoCPokemon/status/1924889315030794727,true,true
29,Carrut - multifandom tattooist ,carrutsoup,Lillie from Pokémon Sun and Moon,2025-05-21T23:41:54.000Z,2025-05-21,33,2810,15565,223961,https://x.com/carrutsoup/status/1925336277768937790,false,true
30,Chronozbergh,Starbind_S,Neo Hax Amonia. #Pokemon,2025-05-19T14:00:30.000Z,2025-05-19,56,4679,50051,561750,https://x.com/Starbind_S/status/1924465187924402384,false,true
31,Pokémon,Pokemon,A new friendship blossoming over a sweet treat,2025-05-20T19:00:40.000Z,2025-05-20,75,1140,8057,275115,https://x.com/Pokemon/status/1924903117734183021,true,true
32,Untitled Animation,untitledanim8,3rd Gen artwork by the artist @jelly_pixels #pokemon,2025-05-27T10:50:00.000Z,2025-05-27,2,683,5113,93303,https://x.com/untitledanim8/status/1927316350021820646,true,true
33,Lewtwo,Lewchube,NEW POKEMON LEGENDS ZA BOX-ART is that fucking EMMA???,2025-05-28T13:15:46.000Z,2025-05-28,152,1302,17465,588137,https://x.com/Lewchube/status/1927715422691803525,true,true
34,Pokémon Tweets ,PkmnShitpost,it’s bedtime,2025-05-20T20:55:05.000Z,2025-05-20,20,802,5887,131347,https://x.com/PkmnShitpost/status/1924931909450133540,false,true
35,Out of Context Pokémon,OoCPokemon,<multimedia>,2025-05-23T15:16:45.000Z,2025-05-23,38,2790,28039,690194,https://x.com/OoCPokemon/status/1925933928096940371,true,true
36,Out of Context Pokémon,OoCPokemon,good night,2025-05-24T03:13:05.000Z,2025-05-24,4,56,510,31827,https://x.com/OoCPokemon/status/1926114199094079512,true,true
37,Pokemon Giveaways,PokeTCGiveaways,Me and my wife looking for product in 2075.,2025-05-20T12:46:05.000Z,2025-05-20,21,224,2198,141626,https://x.com/PokeTCGiveaways/status/1924808851091501070,true,true
38,Out of Context Pokémon,OoCPokemon,<multimedia>,2025-05-23T22:11:05.000Z,2025-05-23,25,2260,14234,388003,https://x.com/OoCPokemon/status/1926038199253581877,true,true
39,90s Pokemon,90sPKMN,<multimedia>,2025-05-19T14:04:37.000Z,2025-05-19,17,971,10110,256529,https://x.com/90sPKMN/status/1924466224139849863,true,true
40,Pokemon Gems,PokemonGems,<multimedia>,2025-05-20T13:24:52.000Z,2025-05-20,9,1045,7412,195974,https://x.com/PokemonGems/status/1924818610037653776,false,true
41,WAV Archive,WAVArchive,Driftveil City - Hitomi Sato (Pokémon: Black & White) (2010),2025-05-22T19:21:00.000Z,2025-05-22,123,3836,18033,438651,https://x.com/WAVArchive/status/1925633008578490518,true,true
42,pokémon artworks ,pokemonszn,<multimedia>,2025-05-23T17:18:36.000Z,2025-05-23,13,1575,14474,351569,https://x.com/pokemonszn/status/1925964592565391801,true,true
43,Yisuno ⚝ | PBR ENJOYER,TheYisusOne,Managed to get Hydrapple's Pokemon model and animations to work properly in Unity,2025-05-26T14:06:04.000Z,2025-05-26,28,410,7695,143709,https://x.com/TheYisusOne/status/1927003305567232297,false,true
44,Pokémon,Pokemon,"#PokemonLegendsZA arrives October 16, 2025! In addition to the #NintendoSwitch title, a #NintendoSwitch2 Edition will offer improved graphics and frame rates! The digital and physical versions of #PokemonLegendsZA can be upgraded to the #NintendoSwitch2 Edition via upgrade pack",2025-05-28T13:02:49.000Z,2025-05-28,959,13178,59520,3245707,https://x.com/Pokemon/status/1927712162778099735,true,true
45,•☆ Danilo Vaz ☆•,danilovaz_art,My illustration for the Valencia x Pokemon Stamp Rally,2025-05-25T18:03:23.000Z,2025-05-25,22,648,5094,93144,https://x.com/danilovaz_art/status/1926700638466953364,false,true
46,Pokémon,Pokemon,Monday mood,2025-05-19T19:00:13.000Z,2025-05-19,96,538,6940,278693,https://x.com/Pokemon/status/1924540614311383187,true,true
47,Pokémon,Pokemon,Quick! Give Morpeko a snack!,2025-05-22T20:11:43.000Z,2025-05-22,56,568,4795,230580,https://x.com/Pokemon/status/1925645772093092138,true,true
48,Pokémon Contexts,PokemonContexts,i'm gonna cry,2025-05-21T18:49:27.000Z,2025-05-21,26,1934,21778,365790,https://x.com/PokemonContexts/status/1925262681382236450,false,true
49,Out of Context Pokémon,OoCPokemon,<multimedia>,2025-05-26T19:00:00.000Z,2025-05-26,15,147,954,55953,https://x.com/OoCPokemon/status/1927077276094718136,true,true
50,WAV Archive,WAVArchive,Lavender Town - Junichi Masuda (Pokémon Red/Blue) (1996),2025-05-25T07:40:00.000Z,2025-05-25,93,1484,6113,336782,https://x.com/WAVArchive/status/1926543759111766154,true,true
51,Media with Pokémon Music,pkmnMusicImages,<multimedia>,2025-05-23T21:48:04.000Z,2025-05-23,7,819,3897,60241,https://x.com/pkmnMusicImages/status/1926032408815583497,true,true
52,Bonsai/#1 Leavanny fan,Peko_Girlboss,How it feels to have a favorite Pokémon with two 4x weaknesses,2025-05-26T01:42:48.000Z,2025-05-26,582,3735,80468,2806382,https://x.com/Peko_Girlboss/status/1926816256922939785,false,true
53,Mr_PoKEMoN_Xx,Mr_PoKEMoN_Xx,The GREATEST Era of Pokemon.,2025-05-28T16:34:52.000Z,2025-05-28,51,118,1984,80648,https://x.com/Mr_PoKEMoN_Xx/status/1927765528090648977,true,true
54,Belmontes,Belmontes_art,Koraidon and Miraidon have a small confrontation over a sandwich #Pokemon #PokemonScarletViolet #Koraidon #Miraidon #Blender,2025-05-28T10:25:37.000Z,2025-05-28,41,1219,5121,83161,https://x.com/Belmontes_art/status/1927672602383827208,false,true
55,quikyu,quikyu_art,Girlies #pokemon,2025-05-28T20:08:46.000Z,2025-05-28,13,360,2348,18018,https://x.com/quikyu_art/status/1927819356337033561,false,true
56,Touya! ★ POKEMON LEGENDS Z-A HYPE,Touyarokii,Melony and her Pokemon want cuddles,2025-05-24T23:11:10.000Z,2025-05-24,134,973,11148,149587,https://x.com/Touyarokii/status/1926415706284859450,false,true
57,Miguel Ángel Durán,midudev,¿No sabes qué colores usar en tu web? Esta herramienta te monta una paleta inspirada en un Pokémon,2025-05-25T14:58:23.000Z,2025-05-25,14,237,2319,81158,https://x.com/midudev/status/1926654083336692091,true,true
